"","time","provname","provpop","deathpop","curepop"
"1","2020-02-09 04:01:00","北京",315,2,34
"2","2020-02-09 04:01:00","湖北",24953,699,1218
"3","2020-02-09 04:01:00","广东",1095,1,112
"4","2020-02-09 04:01:00","浙江",1048,0,175
"5","2020-02-09 04:01:00","河南",981,4,118
"6","2020-02-09 04:01:00","湖南",803,1,156
"7","2020-02-09 04:01:00","重庆",428,2,39
"8","2020-02-09 04:01:00","安徽",733,0,59
"9","2020-02-09 04:01:00","四川",364,1,60
"10","2020-02-09 04:01:00","山东",416,0,44
"11","2020-02-09 04:01:00","吉林",69,1,4
"12","2020-02-09 04:01:00","福建",239,0,24
"13","2020-02-09 04:01:00","江西",698,0,55
"14","2020-02-09 04:01:00","江苏",439,0,51
"15","2020-02-09 04:01:00","上海",286,1,41
"16","2020-02-09 04:01:00","广西",183,0,17
"17","2020-02-09 04:01:00","海南",124,2,14
"18","2020-02-09 04:01:00","陕西",195,0,20
"19","2020-02-09 04:01:00","河北",195,1,30
"20","2020-02-09 04:01:00","黑龙江",295,5,13
"21","2020-02-09 04:01:00","辽宁",105,0,8
"22","2020-02-09 04:01:00","云南",138,0,17
"23","2020-02-09 04:01:00","天津",88,1,4
"24","2020-02-09 04:01:00","山西",104,0,20
"25","2020-02-09 04:01:00","甘肃",79,1,12
"26","2020-02-09 04:01:00","内蒙古",52,0,5
"27","2020-02-09 04:01:00","台湾",17,0,1
"28","2020-02-09 04:01:00","澳门",10,0,1
"29","2020-02-09 04:01:00","香港",26,1,0
"30","2020-02-09 04:01:00","贵州",89,1,7
"31","2020-02-09 04:01:00","西藏",1,0,0
"32","2020-02-09 04:01:00","青海",18,0,3
"33","2020-02-09 04:01:00","新疆",42,0,0
"34","2020-02-09 04:01:00","宁夏",45,0,15
