"","time","provname","provpop","deathpop","curepop"
"1","2020-02-10 04:01:00","北京",326,2,37
"2","2020-02-10 04:01:00","湖北",27100,780,1510
"3","2020-02-10 04:01:00","广东",1131,1,140
"4","2020-02-10 04:01:00","浙江",1075,0,215
"5","2020-02-10 04:01:00","河南",1033,6,154
"6","2020-02-10 04:01:00","湖南",838,1,186
"7","2020-02-10 04:01:00","重庆",450,2,50
"8","2020-02-10 04:01:00","安徽",779,1,72
"9","2020-02-10 04:01:00","四川",386,1,71
"10","2020-02-10 04:01:00","山东",444,1,63
"11","2020-02-10 04:01:00","吉林",78,1,12
"12","2020-02-10 04:01:00","福建",250,0,35
"13","2020-02-10 04:01:00","江西",740,0,74
"14","2020-02-10 04:01:00","江苏",468,0,73
"15","2020-02-10 04:01:00","上海",293,1,44
"16","2020-02-10 04:01:00","广西",195,1,18
"17","2020-02-10 04:01:00","海南",131,3,19
"18","2020-02-10 04:01:00","陕西",208,0,25
"19","2020-02-10 04:01:00","河北",206,2,35
"20","2020-02-10 04:01:00","黑龙江",307,6,15
"21","2020-02-10 04:01:00","辽宁",107,0,12
"22","2020-02-10 04:01:00","云南",141,0,18
"23","2020-02-10 04:01:00","天津",91,1,4
"24","2020-02-10 04:01:00","山西",119,0,25
"25","2020-02-10 04:01:00","甘肃",83,2,16
"26","2020-02-10 04:01:00","内蒙古",54,0,5
"27","2020-02-10 04:01:00","台湾",18,0,1
"28","2020-02-10 04:01:00","澳门",10,0,1
"29","2020-02-10 04:01:00","香港",29,1,0
"30","2020-02-10 04:01:00","贵州",99,1,7
"31","2020-02-10 04:01:00","西藏",1,0,0
"32","2020-02-10 04:01:00","青海",18,0,3
"33","2020-02-10 04:01:00","新疆",45,0,0
"34","2020-02-10 04:01:00","宁夏",45,0,13
