"","time","provname","provpop","deathpop","curepop"
"1","2020-02-12 06:30:00","北京",342,3,48
"2","2020-02-12 06:30:00","湖北",33366,1068,2639
"3","2020-02-12 06:30:00","广东",1177,1,212
"4","2020-02-12 06:30:00","浙江",1117,0,270
"5","2020-02-12 06:30:00","河南",1105,7,218
"6","2020-02-12 06:30:00","湖南",912,1,247
"7","2020-02-12 06:30:00","重庆",489,2,72
"8","2020-02-12 06:30:00","安徽",860,4,105
"9","2020-02-12 06:30:00","四川",417,1,85
"10","2020-02-12 06:30:00","山东",487,1,80
"11","2020-02-12 06:30:00","吉林",81,1,18
"12","2020-02-12 06:30:00","福建",267,0,45
"13","2020-02-12 06:30:00","江西",804,1,128
"14","2020-02-12 06:30:00","江苏",515,0,93
"15","2020-02-12 06:30:00","上海",303,1,53
"16","2020-02-12 06:30:00","广西",215,1,30
"17","2020-02-12 06:30:00","海南",144,3,20
"18","2020-02-12 06:30:00","陕西",219,0,32
"19","2020-02-12 06:30:00","河北",239,2,48
"20","2020-02-12 06:30:00","黑龙江",360,8,28
"21","2020-02-12 06:30:00","辽宁",111,0,18
"22","2020-02-12 06:30:00","云南",153,0,20
"23","2020-02-12 06:30:00","天津",105,2,10
"24","2020-02-12 06:30:00","山西",124,0,30
"25","2020-02-12 06:30:00","甘肃",86,2,24
"26","2020-02-12 06:30:00","内蒙古",58,0,5
"27","2020-02-12 06:30:00","台湾",18,0,1
"28","2020-02-12 06:30:00","澳门",10,0,1
"29","2020-02-12 06:30:00","香港",49,1,0
"30","2020-02-12 06:30:00","贵州",127,1,17
"31","2020-02-12 06:30:00","西藏",1,0,0
"32","2020-02-12 06:30:00","青海",18,0,5
"33","2020-02-12 06:30:00","新疆",55,0,3
"34","2020-02-12 06:30:00","宁夏",53,0,22
