"","time","provname","city","citypop"
"1","2020-02-02 14:22:00","北京","海淀区",41
"2","2020-02-02 14:22:00","北京","怀柔区",1
"3","2020-02-02 14:22:00","北京","丰台区",16
"4","2020-02-02 14:22:00","北京","大兴区",21
"5","2020-02-02 14:22:00","北京","东城区",3
"6","2020-02-02 14:22:00","北京","昌平区",12
"7","2020-02-02 14:22:00","北京","西城区",17
"8","2020-02-02 14:22:00","北京","朝阳区",35
"9","2020-02-02 14:22:00","北京","石景山区",4
"10","2020-02-02 14:22:00","北京","通州区",13
"11","2020-02-02 14:22:00","北京","顺义区",6
"12","2020-02-02 14:22:00","北京","门头沟区",1
"13","2020-02-02 14:22:00","北京","房山区",2
"14","2020-02-02 14:22:00","北京","外地来京人员",11
"15","2020-02-02 14:22:00","湖北","武汉",4109
"16","2020-02-02 14:22:00","湖北","黄冈",1002
"17","2020-02-02 14:22:00","湖北","孝感",749
"18","2020-02-02 14:22:00","湖北","荆门",329
"19","2020-02-02 14:22:00","湖北","咸宁",246
"20","2020-02-02 14:22:00","湖北","荆州",333
"21","2020-02-02 14:22:00","湖北","襄阳",441
"22","2020-02-02 14:22:00","湖北","随州",384
"23","2020-02-02 14:22:00","湖北","十堰",212
"24","2020-02-02 14:22:00","湖北","鄂州",278
"25","2020-02-02 14:22:00","湖北","黄石",252
"26","2020-02-02 14:22:00","湖北","宜昌",353
"27","2020-02-02 14:22:00","湖北","恩施州",105
"28","2020-02-02 14:22:00","湖北","仙桃",140
"29","2020-02-02 14:22:00","湖北","天门",99
"30","2020-02-02 14:22:00","湖北","潜江",35
"31","2020-02-02 14:22:00","湖北","神农架林区",7
"32","2020-02-02 14:22:00","广东","广州",175
"33","2020-02-02 14:22:00","广东","深圳",196
"34","2020-02-02 14:22:00","广东","佛山",39
"35","2020-02-02 14:22:00","广东","珠海",41
"36","2020-02-02 14:22:00","广东","惠州",23
"37","2020-02-02 14:22:00","广东","中山",21
"38","2020-02-02 14:22:00","广东","阳江",10
"39","2020-02-02 14:22:00","广东","东莞",27
"40","2020-02-02 14:22:00","广东","湛江",14
"41","2020-02-02 14:22:00","广东","汕头",14
"42","2020-02-02 14:22:00","广东","清远",6
"43","2020-02-02 14:22:00","广东","揭阳",6
"44","2020-02-02 14:22:00","广东","肇庆",7
"45","2020-02-02 14:22:00","广东","韶关",5
"46","2020-02-02 14:22:00","广东","梅州",6
"47","2020-02-02 14:22:00","广东","茂名",3
"48","2020-02-02 14:22:00","广东","河源",1
"49","2020-02-02 14:22:00","广东","汕尾",4
"50","2020-02-02 14:22:00","广东","江门",3
"51","2020-02-02 14:22:00","广东","潮州",3
"52","2020-02-02 14:22:00","浙江","杭州",110
"53","2020-02-02 14:22:00","浙江","宁波",66
"54","2020-02-02 14:22:00","浙江","温州",265
"55","2020-02-02 14:22:00","浙江","湖州",6
"56","2020-02-02 14:22:00","浙江","嘉兴",19
"57","2020-02-02 14:22:00","浙江","绍兴",27
"58","2020-02-02 14:22:00","浙江","金华",34
"59","2020-02-02 14:22:00","浙江","衢州",13
"60","2020-02-02 14:22:00","浙江","舟山",7
"61","2020-02-02 14:22:00","浙江","台州",100
"62","2020-02-02 14:22:00","浙江","丽水",14
"63","2020-02-02 14:22:00","河南","郑州市",65
"64","2020-02-02 14:22:00","河南","开封市",11
"65","2020-02-02 14:22:00","河南","洛阳市",7
"66","2020-02-02 14:22:00","河南","平顶山市",14
"67","2020-02-02 14:22:00","河南","安阳市",24
"68","2020-02-02 14:22:00","河南","鹤壁市",8
"69","2020-02-02 14:22:00","河南","新乡市",21
"70","2020-02-02 14:22:00","河南","焦作市",7
"71","2020-02-02 14:22:00","河南","濮阳市",3
"72","2020-02-02 14:22:00","河南","许昌市",13
"73","2020-02-02 14:22:00","河南","漯河市",16
"74","2020-02-02 14:22:00","河南","三门峡市",7
"75","2020-02-02 14:22:00","河南","南阳市",62
"76","2020-02-02 14:22:00","河南","商丘市",36
"77","2020-02-02 14:22:00","河南","周口市",40
"78","2020-02-02 14:22:00","河南","信阳市",88
"79","2020-02-02 14:22:00","河南","驻马店市",46
"80","2020-02-02 14:22:00","河南","滑县",1
"81","2020-02-02 14:22:00","河南","长垣市",2
"82","2020-02-02 14:22:00","河南","永城市",8
"83","2020-02-02 14:22:00","河南","邓州市",14
"84","2020-02-02 14:22:00","湖南","长沙市",112
"85","2020-02-02 14:22:00","湖南","衡阳市",30
"86","2020-02-02 14:22:00","湖南","株洲市",25
"87","2020-02-02 14:22:00","湖南","湘潭市",16
"88","2020-02-02 14:22:00","湖南","邵阳市",49
"89","2020-02-02 14:22:00","湖南","岳阳市",53
"90","2020-02-02 14:22:00","湖南","常德市",42
"91","2020-02-02 14:22:00","湖南","张家界市",3
"92","2020-02-02 14:22:00","湖南","益阳市",27
"93","2020-02-02 14:22:00","湖南","郴州市",18
"94","2020-02-02 14:22:00","湖南","永州市",22
"95","2020-02-02 14:22:00","湖南","怀化市",31
"96","2020-02-02 14:22:00","湖南","娄底市",29
"97","2020-02-02 14:22:00","湖南","湘西自治州",6
"98","2020-02-02 14:22:00","重庆","长寿",10
"99","2020-02-02 14:22:00","重庆","武隆",1
"100","2020-02-02 14:22:00","重庆","万州",39
"101","2020-02-02 14:22:00","重庆","江津",3
"102","2020-02-02 14:22:00","重庆","涪陵",1
"103","2020-02-02 14:22:00","重庆","渝中",9
"104","2020-02-02 14:22:00","重庆","黔江",2
"105","2020-02-02 14:22:00","重庆","大渡口",6
"106","2020-02-02 14:22:00","重庆","江北",13
"107","2020-02-02 14:22:00","重庆","九龙坡",11
"108","2020-02-02 14:22:00","重庆","沙坪坝",2
"109","2020-02-02 14:22:00","重庆","南岸",4
"110","2020-02-02 14:22:00","重庆","渝北",12
"111","2020-02-02 14:22:00","重庆","巴南",1
"112","2020-02-02 14:22:00","重庆","合川",8
"113","2020-02-02 14:22:00","重庆","永川",3
"114","2020-02-02 14:22:00","重庆","綦江",4
"115","2020-02-02 14:22:00","重庆","大足",4
"116","2020-02-02 14:22:00","重庆","璧山",8
"117","2020-02-02 14:22:00","重庆","铜梁",4
"118","2020-02-02 14:22:00","重庆","潼南",2
"119","2020-02-02 14:22:00","重庆","荣昌",2
"120","2020-02-02 14:22:00","重庆","开州",16
"121","2020-02-02 14:22:00","重庆","梁平",2
"122","2020-02-02 14:22:00","重庆","城口",1
"123","2020-02-02 14:22:00","重庆","丰都",5
"124","2020-02-02 14:22:00","重庆","垫江",11
"125","2020-02-02 14:22:00","重庆","忠县",12
"126","2020-02-02 14:22:00","重庆","云阳",18
"127","2020-02-02 14:22:00","重庆","奉节",8
"128","2020-02-02 14:22:00","重庆","巫山",6
"129","2020-02-02 14:22:00","重庆","巫溪",11
"130","2020-02-02 14:22:00","重庆","石柱",10
"131","2020-02-02 14:22:00","重庆","秀山",1
"132","2020-02-02 14:22:00","重庆","两江新区",12
"133","2020-02-02 14:22:00","安徽","阜阳",59
"134","2020-02-02 14:22:00","安徽","合肥",59
"135","2020-02-02 14:22:00","安徽","马鞍山",27
"136","2020-02-02 14:22:00","安徽","芜湖",16
"137","2020-02-02 14:22:00","安徽","铜陵",16
"138","2020-02-02 14:22:00","安徽","安庆",43
"139","2020-02-02 14:22:00","安徽","亳州",30
"140","2020-02-02 14:22:00","安徽","黄山",9
"141","2020-02-02 14:22:00","安徽","滁州",6
"142","2020-02-02 14:22:00","安徽","六安",13
"143","2020-02-02 14:22:00","安徽","宿州",14
"144","2020-02-02 14:22:00","安徽","蚌埠",26
"145","2020-02-02 14:22:00","安徽","淮南",6
"146","2020-02-02 14:22:00","安徽","宣城",4
"147","2020-02-02 14:22:00","安徽","淮北",6
"148","2020-02-02 14:22:00","安徽","池州",6
"149","2020-02-02 14:22:00","四川","成都",73
"150","2020-02-02 14:22:00","四川","南充",23
"151","2020-02-02 14:22:00","四川","广安",20
"152","2020-02-02 14:22:00","四川","绵阳",14
"153","2020-02-02 14:22:00","四川","内江",11
"154","2020-02-02 14:22:00","四川","德阳",10
"155","2020-02-02 14:22:00","四川","自贡",9
"156","2020-02-02 14:22:00","四川","攀枝花",9
"157","2020-02-02 14:22:00","四川","达州",9
"158","2020-02-02 14:22:00","四川","巴中",8
"159","2020-02-02 14:22:00","四川","宜宾",7
"160","2020-02-02 14:22:00","四川","泸州",6
"161","2020-02-02 14:22:00","四川","广元",5
"162","2020-02-02 14:22:00","四川","遂宁",5
"163","2020-02-02 14:22:00","四川","雅安",5
"164","2020-02-02 14:22:00","四川","甘孜州",5
"165","2020-02-02 14:22:00","四川","凉山州",5
"166","2020-02-02 14:22:00","四川","乐山",2
"167","2020-02-02 14:22:00","四川","眉山",2
