"","time","provname","provpop","deathpop","curepop"
"1","2020-03-09 07:01:00","北京",428,8,308
"2","2020-03-09 07:01:00","湖北",67707,2986,45235
"3","2020-03-09 07:01:00","广东",1352,7,1256
"4","2020-03-09 07:01:00","浙江",1215,1,1173
"5","2020-03-09 07:01:00","河南",1272,22,1247
"6","2020-03-09 07:01:00","湖南",1018,4,968
"7","2020-03-09 07:01:00","重庆",576,6,527
"8","2020-03-09 07:01:00","安徽",990,6,984
"9","2020-03-09 07:01:00","四川",539,3,464
"10","2020-03-09 07:01:00","山东",758,6,642
"11","2020-03-09 07:01:00","吉林",93,1,90
"12","2020-03-09 07:01:00","福建",296,1,295
"13","2020-03-09 07:01:00","江西",935,1,919
"14","2020-03-09 07:01:00","江苏",631,0,612
"15","2020-03-09 07:01:00","上海",342,3,314
"16","2020-03-09 07:01:00","广西",252,2,223
"17","2020-03-09 07:01:00","海南",168,6,159
"18","2020-03-09 07:01:00","陕西",245,1,227
"19","2020-03-09 07:01:00","河北",318,6,307
"20","2020-03-09 07:01:00","黑龙江",481,13,412
"21","2020-03-09 07:01:00","辽宁",125,1,109
"22","2020-03-09 07:01:00","云南",174,2,170
"23","2020-03-09 07:01:00","天津",136,3,129
"24","2020-03-09 07:01:00","山西",133,0,126
"25","2020-03-09 07:01:00","甘肃",124,2,87
"26","2020-03-09 07:01:00","内蒙古",75,1,70
"27","2020-03-09 07:01:00","台湾",45,1,13
"28","2020-03-09 07:01:00","澳门",10,0,10
"29","2020-03-09 07:01:00","香港",114,3,58
"30","2020-03-09 07:01:00","贵州",146,2,117
"31","2020-03-09 07:01:00","西藏",1,0,1
"32","2020-03-09 07:01:00","青海",18,0,18
"33","2020-03-09 07:01:00","新疆",76,3,73
"34","2020-03-09 07:01:00","宁夏",75,0,71
