"","time","provname","city","citypop","deathpop","curepop"
"1","2020-02-08 03:00:00","湖北","武汉",11618,478,542
"2","2020-02-08 03:00:00","湖北","黄冈",1897,32,81
"3","2020-02-08 03:00:00","湖北","孝感",2141,25,30
"4","2020-02-08 03:00:00","湖北","荆门",553,17,24
"5","2020-02-08 03:00:00","湖北","咸宁",443,1,8
"6","2020-02-08 03:00:00","湖北","荆州",885,10,24
"7","2020-02-08 03:00:00","湖北","襄阳",838,3,30
"8","2020-02-08 03:00:00","湖北","随州",915,9,9
"9","2020-02-08 03:00:00","湖北","十堰",395,0,28
"10","2020-02-08 03:00:00","湖北","鄂州",471,18,9
"11","2020-02-08 03:00:00","湖北","黄石",635,2,40
"12","2020-02-08 03:00:00","湖北","宜昌",610,7,15
"13","2020-02-08 03:00:00","湖北","恩施州",157,0,13
"14","2020-02-08 03:00:00","湖北","仙桃",307,5,11
"15","2020-02-08 03:00:00","湖北","天门",163,10,1
"16","2020-02-08 03:00:00","湖北","潜江",74,1,0
"17","2020-02-08 03:00:00","湖北","神农架林区",10,0,2
"18","2020-02-08 03:00:00","广东","广州",285,0,21
"19","2020-02-08 03:00:00","广东","深圳",339,0,31
"20","2020-02-08 03:00:00","广东","佛山",59,0,4
"21","2020-02-08 03:00:00","广东","珠海",76,0,4
"22","2020-02-08 03:00:00","广东","惠州",39,0,1
"23","2020-02-08 03:00:00","广东","中山",46,0,6
"24","2020-02-08 03:00:00","广东","阳江",13,0,1
"25","2020-02-08 03:00:00","广东","东莞",53,0,1
"26","2020-02-08 03:00:00","广东","湛江",20,0,4
"27","2020-02-08 03:00:00","广东","汕头",22,0,3
"28","2020-02-08 03:00:00","广东","清远",10,0,3
"29","2020-02-08 03:00:00","广东","揭阳",7,0,0
"30","2020-02-08 03:00:00","广东","肇庆",14,1,1
"31","2020-02-08 03:00:00","广东","韶关",6,0,1
"32","2020-02-08 03:00:00","广东","梅州",12,0,4
"33","2020-02-08 03:00:00","广东","茂名",6,0,1
"34","2020-02-08 03:00:00","广东","河源",3,0,0
"35","2020-02-08 03:00:00","广东","汕尾",5,0,1
"36","2020-02-08 03:00:00","广东","江门",14,0,1
"37","2020-02-08 03:00:00","广东","潮州",5,0,0
"38","2020-02-08 03:00:00","浙江","杭州",156,0,18
"39","2020-02-08 03:00:00","浙江","宁波",136,0,12
"40","2020-02-08 03:00:00","浙江","温州",421,0,49
"41","2020-02-08 03:00:00","浙江","湖州",9,0,1
"42","2020-02-08 03:00:00","浙江","嘉兴",35,0,1
"43","2020-02-08 03:00:00","浙江","绍兴",34,0,5
"44","2020-02-08 03:00:00","浙江","金华",48,0,9
"45","2020-02-08 03:00:00","浙江","衢州",15,0,3
"46","2020-02-08 03:00:00","浙江","舟山",7,0,5
"47","2020-02-08 03:00:00","浙江","台州",129,0,17
"48","2020-02-08 03:00:00","浙江","丽水",16,0,3
"49","2020-02-08 03:00:00","河南","郑州市",112,1,25
"50","2020-02-08 03:00:00","河南","开封市",20,0,1
"51","2020-02-08 03:00:00","河南","洛阳市",24,0,2
"52","2020-02-08 03:00:00","河南","平顶山市",46,0,1
"53","2020-02-08 03:00:00","河南","安阳市",40,0,2
"54","2020-02-08 03:00:00","河南","鹤壁市",11,0,0
"55","2020-02-08 03:00:00","河南","新乡市",41,0,4
"56","2020-02-08 03:00:00","河南","焦作市",18,0,1
"57","2020-02-08 03:00:00","河南","濮阳市",5,0,0
"58","2020-02-08 03:00:00","河南","许昌市",28,0,0
"59","2020-02-08 03:00:00","河南","漯河市",26,0,4
"60","2020-02-08 03:00:00","河南","三门峡市",7,0,2
"61","2020-02-08 03:00:00","河南","南阳市",118,2,6
"62","2020-02-08 03:00:00","河南","商丘市",72,0,5
"63","2020-02-08 03:00:00","河南","信阳市",176,0,15
"64","2020-02-08 03:00:00","河南","周口市",60,0,10
"65","2020-02-08 03:00:00","河南","驻马店市",106,0,4
"66","2020-02-08 03:00:00","河南","济源示范区",4,0,0
"67","2020-02-08 03:00:00","湖南","长沙市",190,0,18
"68","2020-02-08 03:00:00","湖南","衡阳市",43,0,11
"69","2020-02-08 03:00:00","湖南","株洲市",46,0,7
"70","2020-02-08 03:00:00","湖南","湘潭市",25,0,7
"71","2020-02-08 03:00:00","湖南","邵阳市",83,0,12
"72","2020-02-08 03:00:00","湖南","岳阳市",107,0,4
"73","2020-02-08 03:00:00","湖南","常德市",64,0,14
"74","2020-02-08 03:00:00","湖南","张家界市",5,0,2
"75","2020-02-08 03:00:00","湖南","益阳市",43,0,6
"76","2020-02-08 03:00:00","湖南","郴州市",29,0,6
"77","2020-02-08 03:00:00","湖南","永州市",38,0,10
"78","2020-02-08 03:00:00","湖南","怀化市",38,0,10
"79","2020-02-08 03:00:00","湖南","娄底市",53,0,4
"80","2020-02-08 03:00:00","湖南","湘西自治州",8,0,1
"81","2020-02-08 03:00:00","安徽","阜阳",105,0,9
"82","2020-02-08 03:00:00","安徽","合肥",115,0,9
"83","2020-02-08 03:00:00","安徽","马鞍山",30,0,0
"84","2020-02-08 03:00:00","安徽","芜湖",27,0,3
"85","2020-02-08 03:00:00","安徽","铜陵",22,0,5
"86","2020-02-08 03:00:00","安徽","安庆",66,0,6
"87","2020-02-08 03:00:00","安徽","亳州",72,0,5
"88","2020-02-08 03:00:00","安徽","黄山",9,0,1
"89","2020-02-08 03:00:00","安徽","滁州",11,0,2
"90","2020-02-08 03:00:00","安徽","六安",41,0,1
"91","2020-02-08 03:00:00","安徽","宿州",27,0,0
"92","2020-02-08 03:00:00","安徽","蚌埠",88,0,1
"93","2020-02-08 03:00:00","安徽","淮南",14,0,2
"94","2020-02-08 03:00:00","安徽","宣城",5,0,2
"95","2020-02-08 03:00:00","安徽","淮北",22,0,0
"96","2020-02-08 03:00:00","安徽","池州",11,0,1
"97","2020-02-08 03:00:00","四川","成都",102,1,25
"98","2020-02-08 03:00:00","四川","自贡",9,0,1
"99","2020-02-08 03:00:00","四川","攀枝花",11,0,1
"100","2020-02-08 03:00:00","四川","泸州",13,0,0
"101","2020-02-08 03:00:00","四川","德阳",12,0,0
"102","2020-02-08 03:00:00","四川","绵阳",19,0,2
"103","2020-02-08 03:00:00","四川","广元",6,0,0
"104","2020-02-08 03:00:00","四川","遂宁",5,0,2
"105","2020-02-08 03:00:00","四川","内江",17,0,1
"106","2020-02-08 03:00:00","四川","乐山",3,0,0
"107","2020-02-08 03:00:00","四川","南充",30,0,2
"108","2020-02-08 03:00:00","四川","宜宾",9,0,0
"109","2020-02-08 03:00:00","四川","广安",27,0,2
"110","2020-02-08 03:00:00","四川","达州",23,0,4
"111","2020-02-08 03:00:00","四川","巴中",20,0,1
"112","2020-02-08 03:00:00","四川","雅安",6,0,0
"113","2020-02-08 03:00:00","四川","眉山",5,0,1
"114","2020-02-08 03:00:00","四川","资阳",2,0,0
"115","2020-02-08 03:00:00","四川","阿坝州",1,0,0
"116","2020-02-08 03:00:00","四川","甘孜州",17,0,0
"117","2020-02-08 03:00:00","四川","凉山州",7,0,0
"118","2020-02-08 03:00:00","山东","济南",41,0,3
"119","2020-02-08 03:00:00","山东","青岛",44,0,5
"120","2020-02-08 03:00:00","山东","淄博",15,0,1
"121","2020-02-08 03:00:00","山东","枣庄",19,0,0
"122","2020-02-08 03:00:00","山东","烟台",34,0,2
"123","2020-02-08 03:00:00","山东","潍坊",27,0,0
"124","2020-02-08 03:00:00","山东","济宁",35,0,7
"125","2020-02-08 03:00:00","山东","泰安",20,0,1
"126","2020-02-08 03:00:00","山东","威海",31,0,5
"127","2020-02-08 03:00:00","山东","日照",14,0,2
"128","2020-02-08 03:00:00","山东","临沂",35,0,3
"129","2020-02-08 03:00:00","山东","德州",27,0,2
"130","2020-02-08 03:00:00","山东","聊城",20,0,1
"131","2020-02-08 03:00:00","山东","滨州",11,0,3
"132","2020-02-08 03:00:00","山东","菏泽",13,0,2
"133","2020-02-08 03:00:00","吉林","长春",32,0,1
"134","2020-02-08 03:00:00","吉林","四平",10,1,0
"135","2020-02-08 03:00:00","吉林","吉林",5,0,2
"136","2020-02-08 03:00:00","吉林","公主岭",4,0,1
"137","2020-02-08 03:00:00","吉林","延边",5,0,0
"138","2020-02-08 03:00:00","吉林","辽源",5,0,0
"139","2020-02-08 03:00:00","吉林","松原",2,0,0
"140","2020-02-08 03:00:00","吉林","通化",2,0,0
"141","2020-02-08 03:00:00","福建","福州",57,0,7
"142","2020-02-08 03:00:00","福建","莆田",44,0,1
"143","2020-02-08 03:00:00","福建","漳州",16,0,1
"144","2020-02-08 03:00:00","福建","泉州",40,0,4
"145","2020-02-08 03:00:00","福建","三明",12,0,0
"146","2020-02-08 03:00:00","福建","厦门",23,0,2
"147","2020-02-08 03:00:00","福建","南平",12,0,1
"148","2020-02-08 03:00:00","福建","龙岩",4,0,0
