"","time","provname","provpop","deathpop","curepop"
"1","2020-02-25 07:36:00","北京",399,4,198
"2","2020-02-25 07:36:00","湖北",64287,2495,16764
"3","2020-02-25 07:36:00","广东",1345,6,793
"4","2020-02-25 07:36:00","浙江",1205,1,782
"5","2020-02-25 07:36:00","河南",1271,19,971
"6","2020-02-25 07:36:00","湖南",1016,4,731
"7","2020-02-25 07:36:00","重庆",576,6,349
"8","2020-02-25 07:36:00","安徽",989,6,663
"9","2020-02-25 07:36:00","四川",527,3,276
"10","2020-02-25 07:36:00","山东",755,5,343
"11","2020-02-25 07:36:00","吉林",93,1,60
"12","2020-02-25 07:36:00","福建",293,1,183
"13","2020-02-25 07:36:00","江西",934,1,645
"14","2020-02-25 07:36:00","江苏",631,0,458
"15","2020-02-25 07:36:00","上海",335,3,261
"16","2020-02-25 07:36:00","广西",251,2,112
"17","2020-02-25 07:36:00","海南",168,5,116
"18","2020-02-25 07:36:00","陕西",245,1,175
"19","2020-02-25 07:36:00","河北",311,6,234
"20","2020-02-25 07:36:00","黑龙江",480,12,229
"21","2020-02-25 07:36:00","辽宁",121,1,84
"22","2020-02-25 07:36:00","云南",174,2,124
"23","2020-02-25 07:36:00","天津",135,3,87
"24","2020-02-25 07:36:00","山西",133,0,94
"25","2020-02-25 07:36:00","甘肃",91,2,80
"26","2020-02-25 07:36:00","内蒙古",75,0,34
"27","2020-02-25 07:36:00","台湾",30,1,5
"28","2020-02-25 07:36:00","澳门",10,0,6
"29","2020-02-25 07:36:00","香港",79,2,19
"30","2020-02-25 07:36:00","贵州",146,2,102
"31","2020-02-25 07:36:00","西藏",1,0,1
"32","2020-02-25 07:36:00","青海",18,0,18
"33","2020-02-25 07:36:00","新疆",76,2,30
"34","2020-02-25 07:36:00","宁夏",71,0,58
