"","time","provname","city","citypop","deathpop","curepop"
"1","2020-03-09 07:01:00","湖北","武汉",49912,2370,29977
"2","2020-03-09 07:01:00","湖北","黄冈",2907,125,2636
"3","2020-03-09 07:01:00","湖北","孝感",3518,125,3024
"4","2020-03-09 07:01:00","湖北","荆门",928,39,743
"5","2020-03-09 07:01:00","湖北","咸宁",836,14,801
"6","2020-03-09 07:01:00","湖北","荆州",1580,49,1377
"7","2020-03-09 07:01:00","湖北","襄阳",1175,38,1055
"8","2020-03-09 07:01:00","湖北","随州",1307,43,1077
"9","2020-03-09 07:01:00","湖北","十堰",672,8,571
"10","2020-03-09 07:01:00","湖北","鄂州",1394,54,993
"11","2020-03-09 07:01:00","湖北","黄石",1015,36,884
"12","2020-03-09 07:01:00","湖北","宜昌",931,34,727
"13","2020-03-09 07:01:00","湖北","恩施州",252,6,233
"14","2020-03-09 07:01:00","湖北","仙桃",575,21,501
"15","2020-03-09 07:01:00","湖北","天门",496,15,457
"16","2020-03-09 07:01:00","湖北","潜江",198,9,168
"17","2020-03-09 07:01:00","湖北","神农架林区",11,0,11
"18","2020-03-09 07:01:00","广东","深圳",419,3,368
"19","2020-03-09 07:01:00","广东","广州",347,1,321
"20","2020-03-09 07:01:00","广东","珠海",98,1,95
"21","2020-03-09 07:01:00","广东","佛山",84,0,77
"22","2020-03-09 07:01:00","广东","东莞",99,1,96
"23","2020-03-09 07:01:00","广东","中山",66,0,62
"24","2020-03-09 07:01:00","广东","惠州",62,0,62
"25","2020-03-09 07:01:00","广东","汕头",25,0,24
"26","2020-03-09 07:01:00","广东","江门",23,0,23
"27","2020-03-09 07:01:00","广东","湛江",22,0,22
"28","2020-03-09 07:01:00","广东","肇庆",19,1,18
"29","2020-03-09 07:01:00","广东","梅州",16,0,15
"30","2020-03-09 07:01:00","广东","阳江",14,0,14
"31","2020-03-09 07:01:00","广东","茂名",14,0,14
"32","2020-03-09 07:01:00","广东","清远",12,0,12
"33","2020-03-09 07:01:00","广东","揭阳",8,0,8
"34","2020-03-09 07:01:00","广东","韶关",10,0,9
"35","2020-03-09 07:01:00","广东","汕尾",5,0,5
"36","2020-03-09 07:01:00","广东","潮州",5,0,5
"37","2020-03-09 07:01:00","广东","河源",4,0,4
"38","2020-03-09 07:01:00","浙江","杭州",169,0,163
"39","2020-03-09 07:01:00","浙江","宁波",157,0,155
"40","2020-03-09 07:01:00","浙江","温州",504,1,489
"41","2020-03-09 07:01:00","浙江","湖州(含境外输入）",12,0,10
"42","2020-03-09 07:01:00","浙江","嘉兴",45,0,42
"43","2020-03-09 07:01:00","浙江","绍兴",42,0,39
"44","2020-03-09 07:01:00","浙江","金华",55,0,54
"45","2020-03-09 07:01:00","浙江","衢州",14,0,14
"46","2020-03-09 07:01:00","浙江","舟山",10,0,10
"47","2020-03-09 07:01:00","浙江","台州",146,0,137
"48","2020-03-09 07:01:00","浙江","丽水(含境外输入)",25,0,17
"49","2020-03-09 07:01:00","浙江","省十里丰监狱",36,0,31
"50","2020-03-09 07:01:00","浙江","划归外省病例",0,0,12
"51","2020-03-09 07:01:00","河南","信阳市",274,2,271
"52","2020-03-09 07:01:00","河南","南阳市",156,3,152
"53","2020-03-09 07:01:00","河南","郑州市",157,0,152
"54","2020-03-09 07:01:00","河南","驻马店市",139,0,139
"55","2020-03-09 07:01:00","河南","商丘市",91,3,88
