"","time","provname","provpop","deathpop","curepop"
"1","2020-02-04 07:40:00","北京",212,1,12
"2","2020-02-04 07:40:00","湖北",13522,414,396
"3","2020-02-04 07:40:00","广东",725,0,21
"4","2020-02-04 07:40:00","浙江",724,0,43
"5","2020-02-04 07:40:00","河南",566,2,18
"6","2020-02-04 07:40:00","湖南",521,0,22
"7","2020-02-04 07:40:00","重庆",337,2,9
"8","2020-02-04 07:40:00","安徽",408,0,14
"9","2020-02-04 07:40:00","四川",254,1,14
"10","2020-02-04 07:40:00","山东",259,0,7
"11","2020-02-04 07:40:00","吉林",31,0,1
"12","2020-02-04 07:40:00","福建",179,0,1
"13","2020-02-04 07:40:00","江西",391,0,18
"14","2020-02-04 07:40:00","江苏",271,0,8
"15","2020-02-04 07:40:00","上海",203,1,10
"16","2020-02-04 07:40:00","广西",127,0,7
"17","2020-02-04 07:40:00","海南",72,1,4
"18","2020-02-04 07:40:00","陕西",128,0,0
"19","2020-02-04 07:40:00","河北",113,1,3
"20","2020-02-04 07:40:00","黑龙江",121,2,2
"21","2020-02-04 07:40:00","辽宁",74,0,1
"22","2020-02-04 07:40:00","云南",117,0,5
"23","2020-02-04 07:40:00","天津",60,0,1
"24","2020-02-04 07:40:00","山西",74,0,2
"25","2020-02-04 07:40:00","甘肃",55,0,3
"26","2020-02-04 07:40:00","内蒙古",34,0,1
"27","2020-02-04 07:40:00","台湾",10,0,0
"28","2020-02-04 07:40:00","澳门",8,0,0
"29","2020-02-04 07:40:00","香港",15,0,0
"30","2020-02-04 07:40:00","贵州",46,0,2
"31","2020-02-04 07:40:00","西藏",1,0,0
"32","2020-02-04 07:40:00","青海",13,0,0
"33","2020-02-04 07:40:00","新疆",24,0,0
"34","2020-02-04 07:40:00","宁夏",31,0,0
