"","time","provname","provpop"
"1","2020-01-31 10:39:00","北京",121
"2","2020-01-31 10:39:00","湖北",5806
"3","2020-01-31 10:39:00","广东",393
"4","2020-01-31 10:39:00","浙江",428
"5","2020-01-31 10:39:00","河南",352
"6","2020-01-31 10:39:00","湖南",332
"7","2020-01-31 10:39:00","重庆",206
"8","2020-01-31 10:39:00","安徽",237
"9","2020-01-31 10:39:00","四川",177
"10","2020-01-31 10:39:00","山东",178
"11","2020-01-31 10:39:00","吉林",14
"12","2020-01-31 10:39:00","福建",101
"13","2020-01-31 10:39:00","江西",240
"14","2020-01-31 10:39:00","江苏",168
"15","2020-01-31 10:39:00","上海",128
"16","2020-01-31 10:39:00","广西",87
"17","2020-01-31 10:39:00","海南",50
"18","2020-01-31 10:39:00","陕西",63
"19","2020-01-31 10:39:00","河北",82
"20","2020-01-31 10:39:00","黑龙江",59
"21","2020-01-31 10:39:00","辽宁",45
"22","2020-01-31 10:39:00","云南",76
"23","2020-01-31 10:39:00","天津",32
"24","2020-01-31 10:39:00","山西",39
"25","2020-01-31 10:39:00","甘肃",29
"26","2020-01-31 10:39:00","内蒙古",18
"27","2020-01-31 10:39:00","台湾",9
"28","2020-01-31 10:39:00","澳门",7
"29","2020-01-31 10:39:00","香港",12
"30","2020-01-31 10:39:00","贵州",15
"31","2020-01-31 10:39:00","西藏",1
"32","2020-01-31 10:39:00","青海",8
"33","2020-01-31 10:39:00","新疆",17
"34","2020-01-31 10:39:00","宁夏",21
