"","date","r0_low","r0_high"
"1",2020-03-07,2.25795979464015,2.54877747478019
"2",2020-03-06,2.27426704040652,2.56932070008419
"3",2020-03-05,2.29082383025634,2.59018700665686
"4",2020-03-04,2.30780945364913,2.61160280041266
"5",2020-03-03,2.3251942080609,2.63353120361649
"6",2020-03-02,2.34316500244382,2.65620868068399
"7",2020-03-01,2.36168124404588,2.67958484216174
"8",2020-02-29,2.38057238095979,2.70344503674777
"9",2020-02-28,2.39985041230852,2.72780495247583
"10",2020-02-27,2.42036529116142,2.75373989153735
"11",2020-02-26,2.4405482884072,2.77926733034088
"12",2020-02-25,2.46120502057352,2.80540619506341
"13",2020-02-24,2.48279206537815,2.83273535175712
"14",2020-02-23,2.5051903915936,2.86110555091665
"15",2020-02-22,2.52861531709805,2.8907910839739
"16",2020-02-21,2.55340128657505,2.92221792196467
"17",2020-02-20,2.57705029900086,2.95221879293768
"18",2020-02-19,2.59922838882707,2.98036734469551
"19",2020-02-18,2.62508144471825,3.01319667801075
"20",2020-02-17,2.64971291410209,3.04449109224051
"21",2020-02-16,2.67481265692216,3.0763965988115
"22",2020-02-15,2.70019709492697,3.10868035650338
"23",2020-02-14,2.72606949179169,3.14160140395534
"24",2020-02-13,2.75176406857072,3.17431265814854
"25",2020-02-12,2.77861783016514,3.20851695603802
"26",2020-02-11,2.76862436593903,3.19578598263025
"27",2020-02-10,2.8082271912587,3.24625135144053
"28",2020-02-09,2.83836274008988,3.28467778789193
"29",2020-02-08,2.87654486542225,3.33339516778036
"30",2020-02-07,2.89963872843081,3.36287746407901
"31",2020-02-06,2.91934182104901,3.38804061837823
"32",2020-02-05,2.93800464078638,3.41188330518565
"33",2020-02-04,2.95305095848699,3.43111140597946
"34",2020-02-03,2.97047643020282,3.45338617383754
"35",2020-02-02,2.98244876496993,3.46869414267936
"36",2020-02-01,2.99170973410687,3.48053748153887
"37",2020-01-31,3.00132430761908,3.49283500382185
"38",2020-01-30,3.00134119877289,3.49285661022399
"39",2020-01-29,2.98953239984303,3.47775284127488
"40",2020-01-28,2.96678075299052,3.44866147408183
"41",2020-01-27,2.93969208742877,3.41403948792329
"42",2020-01-26,2.90014911045812,3.36352917038157
"43",2020-01-25,2.79409045019027,3.2282327539805
"44",2020-01-24,2.7385685005703,3.1575116063292
"45",2020-01-23,2.64020552393541,3.03241003032604
"46",2020-01-22,2.50154387758992,2.85648583654587
"47",2020-01-21,2.40958664085171,2.74011195583574
"48",2020-01-20,2.30093522055856,2.6029345417183
"49",2020-01-19,NA,NA
"50",2020-01-18,NA,NA
"51",2020-01-17,NA,NA
"52",2020-01-16,NA,NA
"53",2020-01-15,NA,NA
"54",2020-01-14,NA,NA
"55",2020-01-13,NA,NA
"56",2020-01-12,NA,NA
"57",2020-01-11,NA,NA
