"","time","provname","provpop"
"1","2020-02-01 01:00:00","北京",139
"2","2020-02-01 01:00:00","湖北",5806
"3","2020-02-01 01:00:00","广东",436
"4","2020-02-01 01:00:00","浙江",428
"5","2020-02-01 01:00:00","河南",352
"6","2020-02-01 01:00:00","湖南",332
"7","2020-02-01 01:00:00","重庆",211
"8","2020-02-01 01:00:00","安徽",237
"9","2020-02-01 01:00:00","四川",177
"10","2020-02-01 01:00:00","山东",184
"11","2020-02-01 01:00:00","吉林",14
"12","2020-02-01 01:00:00","福建",120
"13","2020-02-01 01:00:00","江西",240
"14","2020-02-01 01:00:00","江苏",168
"15","2020-02-01 01:00:00","上海",135
"16","2020-02-01 01:00:00","广西",88
"17","2020-02-01 01:00:00","海南",53
"18","2020-02-01 01:00:00","陕西",87
"19","2020-02-01 01:00:00","河北",82
"20","2020-02-01 01:00:00","黑龙江",59
"21","2020-02-01 01:00:00","辽宁",60
"22","2020-02-01 01:00:00","云南",83
"23","2020-02-01 01:00:00","天津",32
"24","2020-02-01 01:00:00","山西",39
"25","2020-02-01 01:00:00","甘肃",35
"26","2020-02-01 01:00:00","内蒙古",20
"27","2020-02-01 01:00:00","台湾",10
"28","2020-02-01 01:00:00","澳门",7
"29","2020-02-01 01:00:00","香港",12
"30","2020-02-01 01:00:00","贵州",29
"31","2020-02-01 01:00:00","西藏",1
"32","2020-02-01 01:00:00","青海",8
"33","2020-02-01 01:00:00","新疆",17
"34","2020-02-01 01:00:00","宁夏",21
