"","time","provname","provpop","deathpop","curepop"
"1","2020-02-06 01:01:00","北京",253,1,24
"2","2020-02-06 01:01:00","湖北",16678,479,545
"3","2020-02-06 01:01:00","广东",895,0,43
"4","2020-02-06 01:01:00","浙江",895,0,78
"5","2020-02-06 01:01:00","河南",764,2,50
"6","2020-02-06 01:01:00","湖南",661,0,56
"7","2020-02-06 01:01:00","重庆",376,2,15
"8","2020-02-06 01:01:00","安徽",530,0,23
"9","2020-02-06 01:01:00","四川",301,1,24
"10","2020-02-06 01:01:00","山东",307,0,15
"11","2020-02-06 01:01:00","吉林",54,0,2
"12","2020-02-06 01:01:00","福建",205,0,12
"13","2020-02-06 01:01:00","江西",548,0,27
"14","2020-02-06 01:01:00","江苏",341,0,25
"15","2020-02-06 01:01:00","上海",243,1,15
"16","2020-02-06 01:01:00","广西",150,0,14
"17","2020-02-06 01:01:00","海南",99,1,5
"18","2020-02-06 01:01:00","陕西",165,0,6
"19","2020-02-06 01:01:00","河北",135,1,6
"20","2020-02-06 01:01:00","黑龙江",190,2,7
"21","2020-02-06 01:01:00","辽宁",89,0,4
"22","2020-02-06 01:01:00","云南",124,0,5
"23","2020-02-06 01:01:00","天津",69,1,2
"24","2020-02-06 01:01:00","山西",81,0,5
"25","2020-02-06 01:01:00","甘肃",62,0,6
"26","2020-02-06 01:01:00","内蒙古",42,0,3
"27","2020-02-06 01:01:00","台湾",11,0,0
"28","2020-02-06 01:01:00","澳门",10,0,0
"29","2020-02-06 01:01:00","香港",21,1,0
"30","2020-02-06 01:01:00","贵州",64,1,6
"31","2020-02-06 01:01:00","西藏",1,0,0
"32","2020-02-06 01:01:00","青海",17,0,3
"33","2020-02-06 01:01:00","新疆",32,0,0
"34","2020-02-06 01:01:00","宁夏",34,0,1
