"","time","provname","city","citypop","deathpop","curepop"
"1","2020-02-20 03:01:00","湖北","武汉",44412,1497,5040
"2","2020-02-20 03:01:00","湖北","黄冈",2844,85,1068
"3","2020-02-20 03:01:00","湖北","孝感",3344,82,572
"4","2020-02-20 03:01:00","湖北","荆门",901,33,181
"5","2020-02-20 03:01:00","湖北","咸宁",832,10,228
"6","2020-02-20 03:01:00","湖北","荆州",1541,38,426
"7","2020-02-20 03:01:00","湖北","襄阳",1165,22,230
"8","2020-02-20 03:01:00","湖北","随州",1280,26,254
"9","2020-02-20 03:01:00","湖北","十堰",638,2,164
"10","2020-02-20 03:01:00","湖北","鄂州",1343,37,301
"11","2020-02-20 03:01:00","湖北","黄石",983,25,284
"12","2020-02-20 03:01:00","湖北","宜昌",907,25,208
"13","2020-02-20 03:01:00","湖北","恩施州",249,3,96
"14","2020-02-20 03:01:00","湖北","仙桃",562,19,149
"15","2020-02-20 03:01:00","湖北","天门",486,11,73
"16","2020-02-20 03:01:00","湖北","潜江",185,6,40
"17","2020-02-20 03:01:00","湖北","神农架林区",10,0,10
"18","2020-02-20 03:01:00","广东","深圳",416,2,182
"19","2020-02-20 03:01:00","广东","广州",339,0,148
"20","2020-02-20 03:01:00","广东","珠海",98,1,45
"21","2020-02-20 03:01:00","广东","佛山",84,0,33
"22","2020-02-20 03:01:00","广东","东莞",91,1,24
"23","2020-02-20 03:01:00","广东","中山",66,0,40
"24","2020-02-20 03:01:00","广东","惠州",62,0,38
"25","2020-02-20 03:01:00","广东","汕头",25,0,18
"26","2020-02-20 03:01:00","广东","江门",23,0,9
"27","2020-02-20 03:01:00","广东","湛江",22,0,11
"28","2020-02-20 03:01:00","广东","肇庆",18,1,8
"29","2020-02-20 03:01:00","广东","梅州",16,0,10
"30","2020-02-20 03:01:00","广东","阳江",13,0,9
"31","2020-02-20 03:01:00","广东","茂名",14,0,6
"32","2020-02-20 03:01:00","广东","清远",12,0,9
"33","2020-02-20 03:01:00","广东","揭阳",8,0,4
"34","2020-02-20 03:01:00","广东","韶关",10,0,5
"35","2020-02-20 03:01:00","广东","汕尾",5,0,2
"36","2020-02-20 03:01:00","广东","潮州",5,0,4
"37","2020-02-20 03:01:00","广东","河源",4,0,1
"38","2020-02-20 03:01:00","浙江","杭州",169,0,108
"39","2020-02-20 03:01:00","浙江","宁波",156,0,89
"40","2020-02-20 03:01:00","浙江","温州",504,0,228
"41","2020-02-20 03:01:00","浙江","湖州",10,0,6
"42","2020-02-20 03:01:00","浙江","嘉兴",44,0,17
"43","2020-02-20 03:01:00","浙江","绍兴",42,0,20
"44","2020-02-20 03:01:00","浙江","金华",55,0,33
"45","2020-02-20 03:01:00","浙江","衢州",21,0,10
"46","2020-02-20 03:01:00","浙江","舟山",10,0,5
"47","2020-02-20 03:01:00","浙江","台州",146,0,74
"48","2020-02-20 03:01:00","浙江","丽水",17,0,14
"49","2020-02-20 03:01:00","河南","信阳市",268,2,86
"50","2020-02-20 03:01:00","河南","南阳市",155,2,66
"51","2020-02-20 03:01:00","河南","郑州市",156,0,77
"52","2020-02-20 03:01:00","河南","驻马店市",139,0,83
"53","2020-02-20 03:01:00","河南","商丘市",91,3,50
"54","2020-02-20 03:01:00","河南","周口市",76,0,34
"55","2020-02-20 03:01:00","河南","平顶山市",58,1,31
"56","2020-02-20 03:01:00","河南","新乡市",57,3,24
"57","2020-02-20 03:01:00","河南","安阳市",52,0,28
"58","2020-02-20 03:01:00","河南","许昌市",39,0,16
"59","2020-02-20 03:01:00","河南","漯河市",34,0,14
"60","2020-02-20 03:01:00","河南","洛阳市",31,1,13
"61","2020-02-20 03:01:00","河南","焦作市",32,1,8
"62","2020-02-20 03:01:00","河南","开封市",26,0,11
"63","2020-02-20 03:01:00","河南","鹤壁市",19,0,8
"64","2020-02-20 03:01:00","河南","濮阳市",17,0,7
"65","2020-02-20 03:01:00","河南","三门峡市",7,0,5
"66","2020-02-20 03:01:00","河南","济源示范区",5,0,2
"67","2020-02-20 03:01:00","湖南","长沙市",241,2,98
"68","2020-02-20 03:01:00","湖南","衡阳市",48,0,32
"69","2020-02-20 03:01:00","湖南","株洲市",78,0,40
"70","2020-02-20 03:01:00","湖南","湘潭市",35,0,17
"71","2020-02-20 03:01:00","湖南","邵阳市",102,1,71
"72","2020-02-20 03:01:00","湖南","岳阳市",155,1,64
"73","2020-02-20 03:01:00","湖南","常德市",79,0,49
"74","2020-02-20 03:01:00","湖南","张家界市",5,0,5
"75","2020-02-20 03:01:00","湖南","益阳市",59,0,35
"76","2020-02-20 03:01:00","湖南","郴州市",39,0,29
"77","2020-02-20 03:01:00","湖南","永州市",43,0,30
"78","2020-02-20 03:01:00","湖南","怀化市",40,0,37
"79","2020-02-20 03:01:00","湖南","娄底市",76,0,47
"80","2020-02-20 03:01:00","湖南","湘西自治州",8,0,7
"81","2020-02-20 03:01:00","安徽","阜阳",155,0,64
"82","2020-02-20 03:01:00","安徽","合肥",173,1,75
"83","2020-02-20 03:01:00","安徽","马鞍山",37,0,15
"84","2020-02-20 03:01:00","安徽","芜湖",33,0,17
"85","2020-02-20 03:01:00","安徽","铜陵",29,0,12
"86","2020-02-20 03:01:00","安徽","安庆",83,0,44
"87","2020-02-20 03:01:00","安徽","亳州",108,0,58
"88","2020-02-20 03:01:00","安徽","黄山",9,0,6
"89","2020-02-20 03:01:00","安徽","滁州",13,0,7
"90","2020-02-20 03:01:00","安徽","六安",69,0,30
"91","2020-02-20 03:01:00","安徽","宿州",41,0,20
"92","2020-02-20 03:01:00","安徽","蚌埠",159,5,30
"93","2020-02-20 03:01:00","安徽","淮南",27,0,11
"94","2020-02-20 03:01:00","安徽","宣城",6,0,4
"95","2020-02-20 03:01:00","安徽","淮北",27,0,13
"96","2020-02-20 03:01:00","安徽","池州",17,0,7
"97","2020-02-20 03:01:00","四川","成都",141,3,61
"98","2020-02-20 03:01:00","四川","自贡",9,0,4
"99","2020-02-20 03:01:00","四川","攀枝花",16,0,11
"100","2020-02-20 03:01:00","四川","泸州",20,0,5
"101","2020-02-20 03:01:00","四川","德阳",17,0,1
"102","2020-02-20 03:01:00","四川","绵阳",22,0,10
"103","2020-02-20 03:01:00","四川","广元",6,0,4
"104","2020-02-20 03:01:00","四川","遂宁",17,0,10
"105","2020-02-20 03:01:00","四川","内江",22,0,6
"106","2020-02-20 03:01:00","四川","乐山",3,0,2
"107","2020-02-20 03:01:00","四川","南充",38,0,14
"108","2020-02-20 03:01:00","四川","宜宾",12,0,7
"109","2020-02-20 03:01:00","四川","广安",30,0,18
"110","2020-02-20 03:01:00","四川","达州",40,0,11
"111","2020-02-20 03:01:00","四川","巴中",24,0,3
"112","2020-02-20 03:01:00","四川","雅安",7,0,2
"113","2020-02-20 03:01:00","四川","眉山",8,0,3
"114","2020-02-20 03:01:00","四川","资阳",3,0,2
"115","2020-02-20 03:01:00","四川","阿坝州",1,0,1
"116","2020-02-20 03:01:00","四川","甘孜州",65,0,8
"117","2020-02-20 03:01:00","四川","凉山州",13,0,5
"118","2020-02-20 03:01:00","山东","济南",47,0,17
"119","2020-02-20 03:01:00","山东","青岛",59,1,29
"120","2020-02-20 03:01:00","山东","淄博",29,0,6
"121","2020-02-20 03:01:00","山东","枣庄",24,0,10
"122","2020-02-20 03:01:00","山东","烟台",47,0,15
"123","2020-02-20 03:01:00","山东","潍坊",44,0,14
"124","2020-02-20 03:01:00","山东","济宁",52,0,27
"125","2020-02-20 03:01:00","山东","泰安",32,1,6
"126","2020-02-20 03:01:00","山东","威海",38,0,10
"127","2020-02-20 03:01:00","山东","日照",16,0,6
"128","2020-02-20 03:01:00","山东","临沂",48,0,41
"129","2020-02-20 03:01:00","山东","德州",37,1,9
"130","2020-02-20 03:01:00","山东","聊城",38,0,18
"131","2020-02-20 03:01:00","山东","滨州",15,0,10
"132","2020-02-20 03:01:00","山东","菏泽",18,0,13
"133","2020-02-20 03:01:00","吉林","长春",45,0,19
"134","2020-02-20 03:01:00","吉林","四平",15,1,4
"135","2020-02-20 03:01:00","吉林","吉林",5,0,3
"136","2020-02-20 03:01:00","吉林","公主岭",6,0,2
"137","2020-02-20 03:01:00","吉林","白城",1,0,0
"138","2020-02-20 03:01:00","吉林","延边",5,0,4
"139","2020-02-20 03:01:00","吉林","辽源",7,0,1
"140","2020-02-20 03:01:00","吉林","松原",2,0,2
"141","2020-02-20 03:01:00","吉林","通化",3,0,1
"142","2020-02-20 03:01:00","吉林","梅河口",1,0,1
"143","2020-02-20 03:01:00","福建","福州",71,0,33
"144","2020-02-20 03:01:00","福建","莆田",55,0,19
"145","2020-02-20 03:01:00","福建","漳州",20,0,11
"146","2020-02-20 03:01:00","福建","泉州",46,0,13
"147","2020-02-20 03:01:00","福建","三明",14,0,5
"148","2020-02-20 03:01:00","福建","厦门",35,0,10
"149","2020-02-20 03:01:00","福建","南平",20,0,8
"150","2020-02-20 03:01:00","福建","龙岩",6,0,1
"151","2020-02-20 03:01:00","福建","宁德",26,0,12
"152","2020-02-20 03:01:00","江西","南昌",230,0,114
"153","2020-02-20 03:01:00","江西","赣州",76,1,24
"154","2020-02-20 03:01:00","江西","宜春",106,0,33
"155","2020-02-20 03:01:00","江西","九江",118,0,33
"156","2020-02-20 03:01:00","江西","抚州",72,0,29
"157","2020-02-20 03:01:00","江西","上饶",123,0,47
"158","2020-02-20 03:01:00","江西","新余",129,0,58
"159","2020-02-20 03:01:00","江西","吉安",22,0,11
"160","2020-02-20 03:01:00","江西","景德镇",6,0,3
"161","2020-02-20 03:01:00","江西","萍乡",33,0,7
"162","2020-02-20 03:01:00","江西","鹰潭",18,0,3
"163","2020-02-20 03:01:00","江西","赣江新区",1,0,0
"164","2020-02-20 03:01:00","江苏","南京",93,0,38
"165","2020-02-20 03:01:00","江苏","无锡",55,0,27
"166","2020-02-20 03:01:00","江苏","徐州",79,0,51
"167","2020-02-20 03:01:00","江苏","常州",51,0,27
"168","2020-02-20 03:01:00","江苏","苏州",87,0,33
"169","2020-02-20 03:01:00","江苏","南通",40,0,23
"170","2020-02-20 03:01:00","江苏","连云港",48,0,17
"171","2020-02-20 03:01:00","江苏","淮安",66,0,32
"172","2020-02-20 03:01:00","江苏","盐城",27,0,24
"173","2020-02-20 03:01:00","江苏","扬州",23,0,11
"174","2020-02-20 03:01:00","江苏","镇江",12,0,6
"175","2020-02-20 03:01:00","江苏","泰州",37,0,22
"176","2020-02-20 03:01:00","江苏","宿迁",13,0,7
"177","2020-02-20 03:01:00","广西","南宁",54,0,23
"178","2020-02-20 03:01:00","广西","柳州",24,0,10
"179","2020-02-20 03:01:00","广西","桂林",31,0,15
"180","2020-02-20 03:01:00","广西","梧州",5,0,5
"181","2020-02-20 03:01:00","广西","北海",44,1,14
"182","2020-02-20 03:01:00","广西","防城港",18,0,6
"183","2020-02-20 03:01:00","广西","钦州",8,0,1
"184","2020-02-20 03:01:00","广西","贵港",8,0,3
"185","2020-02-20 03:01:00","广西","玉林",11,0,4
"186","2020-02-20 03:01:00","广西","百色",3,0,2
"187","2020-02-20 03:01:00","广西","河池",23,1,3
"188","2020-02-20 03:01:00","广西","贺州",4,0,0
"189","2020-02-20 03:01:00","广西","来宾",11,0,0
"190","2020-02-20 03:01:00","海南","海口",39,0,18
"191","2020-02-20 03:01:00","海南","三亚",54,1,22
"192","2020-02-20 03:01:00","海南","儋州",15,0,11
"193","2020-02-20 03:01:00","海南","万宁",13,0,9
"194","2020-02-20 03:01:00","海南","琼海",6,1,4
"195","2020-02-20 03:01:00","海南","东方",3,0,2
"196","2020-02-20 03:01:00","海南","临高",6,0,4
"197","2020-02-20 03:01:00","海南","定安",3,1,2
"198","2020-02-20 03:01:00","海南","昌江",7,0,2
"199","2020-02-20 03:01:00","海南","澄迈",9,1,4
"200","2020-02-20 03:01:00","海南","陵水",4,0,1
"201","2020-02-20 03:01:00","海南","琼中",1,0,1
"202","2020-02-20 03:01:00","海南","乐东",2,0,0
"203","2020-02-20 03:01:00","海南","文昌",3,0,3
"204","2020-02-20 03:01:00","海南","保亭",3,0,1
"205","2020-02-20 03:01:00","陕西","西安",118,0,44
"206","2020-02-20 03:01:00","陕西","安康",25,0,15
"207","2020-02-20 03:01:00","陕西","铜川",8,0,6
"208","2020-02-20 03:01:00","陕西","咸阳",17,0,8
"209","2020-02-20 03:01:00","陕西","汉中",26,0,5
"210","2020-02-20 03:01:00","陕西","渭南",15,0,4
"211","2020-02-20 03:01:00","陕西","宝鸡",13,0,9
"212","2020-02-20 03:01:00","陕西","延安",8,0,6
"213","2020-02-20 03:01:00","陕西","商洛",7,0,2
"214","2020-02-20 03:01:00","陕西","榆林",3,0,1
"215","2020-02-20 03:01:00","陕西","韩城",1,0,1
"216","2020-02-20 03:01:00","陕西","杨凌示范区",1,0,0
"217","2020-02-20 03:01:00","陕西","待确认",0,0,1
"218","2020-02-20 03:01:00","河北","石家庄",28,0,13
"219","2020-02-20 03:01:00","河北","廊坊",30,0,20
"220","2020-02-20 03:01:00","河北","沧州",48,2,18
"221","2020-02-20 03:01:00","河北","邯郸",31,0,13
"222","2020-02-20 03:01:00","河北","保定",32,0,27
"223","2020-02-20 03:01:00","河北","邢台",23,1,10
"224","2020-02-20 03:01:00","河北","衡水",8,0,6
"225","2020-02-20 03:01:00","河北","承德",7,0,4
"226","2020-02-20 03:01:00","河北","唐山",55,1,13
"227","2020-02-20 03:01:00","河北","张家口",34,0,24
"228","2020-02-20 03:01:00","河北","秦皇岛",10,0,4
"229","2020-02-20 03:01:00","黑龙江","哈尔滨",192,3,48
"230","2020-02-20 03:01:00","黑龙江","齐齐哈尔",43,1,10
"231","2020-02-20 03:01:00","黑龙江","牡丹江",13,0,1
"232","2020-02-20 03:01:00","黑龙江","佳木斯",15,0,12
"233","2020-02-20 03:01:00","黑龙江","大庆",23,1,7
"234","2020-02-20 03:01:00","黑龙江","鸡西",46,0,3
"235","2020-02-20 03:01:00","黑龙江","双鸭山",52,3,8
"236","2020-02-20 03:01:00","黑龙江","七台河",17,0,6
"237","2020-02-20 03:01:00","黑龙江","鹤岗",5,0,2
"238","2020-02-20 03:01:00","黑龙江","绥化",47,4,18
"239","2020-02-20 03:01:00","黑龙江","大兴安岭",2,0,2
"240","2020-02-20 03:01:00","黑龙江","黑河",14,0,3
"241","2020-02-20 03:01:00","黑龙江","伊春",1,0,0
"242","2020-02-20 03:01:00","辽宁","沈阳",28,0,22
"243","2020-02-20 03:01:00","辽宁","大连",19,0,9
"244","2020-02-20 03:01:00","辽宁","鞍山",4,0,0
"245","2020-02-20 03:01:00","辽宁","本溪",3,0,3
"246","2020-02-20 03:01:00","辽宁","丹东",7,0,4
"247","2020-02-20 03:01:00","辽宁","锦州",12,0,7
"248","2020-02-20 03:01:00","辽宁","营口",1,0,1
"249","2020-02-20 03:01:00","辽宁","阜新",8,0,0
"250","2020-02-20 03:01:00","辽宁","辽阳",3,0,3
"251","2020-02-20 03:01:00","辽宁","铁岭",7,0,1
"252","2020-02-20 03:01:00","辽宁","朝阳",6,0,3
"253","2020-02-20 03:01:00","辽宁","盘锦",11,0,0
"254","2020-02-20 03:01:00","辽宁","葫芦岛",12,1,2
"255","2020-02-20 03:01:00","云南","昆明",53,0,15
"256","2020-02-20 03:01:00","云南","昭通",25,0,2
"257","2020-02-20 03:01:00","云南","西双版纳",15,0,4
"258","2020-02-20 03:01:00","云南","玉溪",14,1,3
"259","2020-02-20 03:01:00","云南","曲靖",13,0,6
"260","2020-02-20 03:01:00","云南","大理州",13,0,10
"261","2020-02-20 03:01:00","云南","保山",9,0,3
"262","2020-02-20 03:01:00","云南","红河州",8,0,3
"263","2020-02-20 03:01:00","云南","丽江",7,0,7
"264","2020-02-20 03:01:00","云南","德宏州",5,0,2
"265","2020-02-20 03:01:00","云南","楚雄州",4,0,1
"266","2020-02-20 03:01:00","云南","普洱",4,0,3
"267","2020-02-20 03:01:00","云南","文山州",2,0,0
"268","2020-02-20 03:01:00","云南","临沧",1,0,1
"269","2020-02-20 03:01:00","山西","太原",19,0,9
"270","2020-02-20 03:01:00","山西","大同",12,0,6
"271","2020-02-20 03:01:00","山西","阳泉",4,0,1
"272","2020-02-20 03:01:00","山西","长治",8,0,1
"273","2020-02-20 03:01:00","山西","晋城",10,0,3
"274","2020-02-20 03:01:00","山西","朔州",8,0,3
"275","2020-02-20 03:01:00","山西","晋中",36,0,15
"276","2020-02-20 03:01:00","山西","忻州",7,0,4
"277","2020-02-20 03:01:00","山西","运城",19,0,14
"278","2020-02-20 03:01:00","山西","临汾",2,0,1
"279","2020-02-20 03:01:00","山西","吕梁",6,0,6
"280","2020-02-20 03:01:00","甘肃","兰州",36,2,23
"281","2020-02-20 03:01:00","甘肃","天水",12,0,12
"282","2020-02-20 03:01:00","甘肃","定西",9,0,8
"283","2020-02-20 03:01:00","甘肃","平凉",9,0,3
"284","2020-02-20 03:01:00","甘肃","甘南州",8,0,4
"285","2020-02-20 03:01:00","甘肃","白银",4,0,1
"286","2020-02-20 03:01:00","甘肃","陇南",4,0,4
"287","2020-02-20 03:01:00","甘肃","庆阳",3,0,2
"288","2020-02-20 03:01:00","甘肃","临夏州",3,0,3
"289","2020-02-20 03:01:00","甘肃","张掖",2,0,2
"290","2020-02-20 03:01:00","甘肃","金昌",1,0,1
"291","2020-02-20 03:01:00","内蒙古","鄂尔多斯",11,0,3
"292","2020-02-20 03:01:00","内蒙古","包头",11,0,1
"293","2020-02-20 03:01:00","内蒙古","锡林郭勒",9,0,1
"294","2020-02-20 03:01:00","内蒙古","赤峰",9,0,3
"295","2020-02-20 03:01:00","内蒙古","巴彦淖尔",8,0,0
"296","2020-02-20 03:01:00","内蒙古","呼和浩特",7,0,0
"297","2020-02-20 03:01:00","内蒙古","通辽",7,0,0
"298","2020-02-20 03:01:00","内蒙古","呼伦贝尔",7,0,1
"299","2020-02-20 03:01:00","内蒙古","乌兰察布",3,0,1
"300","2020-02-20 03:01:00","内蒙古","乌海",2,0,0
"301","2020-02-20 03:01:00","内蒙古","兴安盟",1,0,0
"302","2020-02-20 03:01:00","贵州","贵阳",36,1,14
"303","2020-02-20 03:01:00","贵州","遵义",32,0,15
"304","2020-02-20 03:01:00","贵州","六盘水",10,1,6
"305","2020-02-20 03:01:00","贵州","安顺",4,0,1
