"","time","provname","city","citypop","deathpop","curepop"
"1","2020-02-13 08:07:00","湖北","武汉",19558,1036,1380
"2","2020-02-13 08:07:00","湖北","黄冈",2398,58,342
"3","2020-02-13 08:07:00","湖北","孝感",2751,49,179
"4","2020-02-13 08:07:00","湖北","荆门",696,24,84
"5","2020-02-13 08:07:00","湖北","咸宁",525,7,76
"6","2020-02-13 08:07:00","湖北","荆州",1110,23,80
"7","2020-02-13 08:07:00","湖北","襄阳",1088,13,60
"8","2020-02-13 08:07:00","湖北","随州",1129,14,56
"9","2020-02-13 08:07:00","湖北","十堰",536,1,79
"10","2020-02-13 08:07:00","湖北","鄂州",861,30,72
"11","2020-02-13 08:07:00","湖北","黄石",874,9,101
"12","2020-02-13 08:07:00","湖北","宜昌",784,11,62
"13","2020-02-13 08:07:00","湖北","恩施州",203,4,45
"14","2020-02-13 08:07:00","湖北","仙桃",460,16,43
"15","2020-02-13 08:07:00","湖北","天门",293,10,12
"16","2020-02-13 08:07:00","湖北","潜江",90,5,8
"17","2020-02-13 08:07:00","湖北","神农架林区",10,0,7
"18","2020-02-13 08:07:00","广东","深圳",386,0,82
"19","2020-02-13 08:07:00","广东","广州",323,0,71
"20","2020-02-13 08:07:00","广东","珠海",87,0,21
"21","2020-02-13 08:07:00","广东","佛山",78,0,17
"22","2020-02-13 08:07:00","广东","东莞",67,0,7
"23","2020-02-13 08:07:00","广东","中山",62,0,21
"24","2020-02-13 08:07:00","广东","惠州",54,0,4
"25","2020-02-13 08:07:00","广东","汕头",25,0,8
"26","2020-02-13 08:07:00","广东","湛江",21,0,9
"27","2020-02-13 08:07:00","广东","江门",21,0,4
"28","2020-02-13 08:07:00","广东","肇庆",16,1,7
"29","2020-02-13 08:07:00","广东","阳江",13,0,5
"30","2020-02-13 08:07:00","广东","梅州",13,0,5
"31","2020-02-13 08:07:00","广东","茂名",13,0,2
"32","2020-02-13 08:07:00","广东","清远",12,0,5
"33","2020-02-13 08:07:00","广东","揭阳",8,0,3
"34","2020-02-13 08:07:00","广东","韶关",7,0,3
"35","2020-02-13 08:07:00","广东","汕尾",5,0,1
"36","2020-02-13 08:07:00","广东","潮州",5,0,0
"37","2020-02-13 08:07:00","广东","河源",3,0,1
"38","2020-02-13 08:07:00","浙江","杭州",159,0,67
"39","2020-02-13 08:07:00","浙江","宁波",153,0,25
"40","2020-02-13 08:07:00","浙江","温州",481,0,120
"41","2020-02-13 08:07:00","浙江","湖州",10,0,4
"42","2020-02-13 08:07:00","浙江","嘉兴",42,0,6
"43","2020-02-13 08:07:00","浙江","绍兴",41,0,13
"44","2020-02-13 08:07:00","浙江","金华",54,0,23
"45","2020-02-13 08:07:00","浙江","衢州",21,0,5
"46","2020-02-13 08:07:00","浙江","舟山",10,0,5
"47","2020-02-13 08:07:00","浙江","台州",143,0,46
"48","2020-02-13 08:07:00","浙江","丽水",17,0,7
"49","2020-02-13 08:07:00","河南","信阳市",231,0,38
"50","2020-02-13 08:07:00","河南","南阳市",138,2,36
"51","2020-02-13 08:07:00","河南","郑州市",137,0,47
"52","2020-02-13 08:07:00","河南","驻马店市",128,0,31
"53","2020-02-13 08:07:00","河南","商丘市",86,1,14
"54","2020-02-13 08:07:00","河南","周口市",66,0,20
"55","2020-02-13 08:07:00","河南","平顶山市",55,1,15
"56","2020-02-13 08:07:00","河南","新乡市",53,2,7
"57","2020-02-13 08:07:00","河南","安阳市",49,0,10
"58","2020-02-13 08:07:00","河南","许昌市",34,0,3
"59","2020-02-13 08:07:00","河南","漯河市",33,0,6
"60","2020-02-13 08:07:00","河南","洛阳市",29,0,4
"61","2020-02-13 08:07:00","河南","焦作市",28,1,5
"62","2020-02-13 08:07:00","河南","开封市",25,0,2
"63","2020-02-13 08:07:00","河南","鹤壁市",19,0,4
"64","2020-02-13 08:07:00","河南","濮阳市",13,0,1
"65","2020-02-13 08:07:00","河南","三门峡市",7,0,3
"66","2020-02-13 08:07:00","河南","济源示范区",4,0,0
"67","2020-02-13 08:07:00","湖南","长沙市",223,0,56
"68","2020-02-13 08:07:00","湖南","衡阳市",45,0,23
"69","2020-02-13 08:07:00","湖南","株洲市",71,0,12
"70","2020-02-13 08:07:00","湖南","湘潭市",32,0,11
"71","2020-02-13 08:07:00","湖南","邵阳市",94,1,33
"72","2020-02-13 08:07:00","湖南","岳阳市",146,1,42
"73","2020-02-13 08:07:00","湖南","常德市",75,0,24
"74","2020-02-13 08:07:00","湖南","张家界市",5,0,3
"75","2020-02-13 08:07:00","湖南","益阳市",58,0,22
"76","2020-02-13 08:07:00","湖南","郴州市",38,0,15
"77","2020-02-13 08:07:00","湖南","永州市",43,0,18
"78","2020-02-13 08:07:00","湖南","怀化市",39,0,21
"79","2020-02-13 08:07:00","湖南","娄底市",69,0,18
"80","2020-02-13 08:07:00","湖南","湘西自治州",8,0,6
"81","2020-02-13 08:07:00","安徽","阜阳",138,0,17
"82","2020-02-13 08:07:00","安徽","合肥",157,1,28
"83","2020-02-13 08:07:00","安徽","马鞍山",32,0,6
"84","2020-02-13 08:07:00","安徽","芜湖",31,0,4
"85","2020-02-13 08:07:00","安徽","铜陵",27,0,9
"86","2020-02-13 08:07:00","安徽","安庆",80,0,15
"87","2020-02-13 08:07:00","安徽","亳州",97,0,12
"88","2020-02-13 08:07:00","安徽","黄山",9,0,1
"89","2020-02-13 08:07:00","安徽","滁州",12,0,4
"90","2020-02-13 08:07:00","安徽","六安",59,0,3
"91","2020-02-13 08:07:00","安徽","宿州",36,0,8
"92","2020-02-13 08:07:00","安徽","蚌埠",141,3,2
"93","2020-02-13 08:07:00","安徽","淮南",24,0,6
"94","2020-02-13 08:07:00","安徽","宣城",6,0,4
"95","2020-02-13 08:07:00","安徽","淮北",24,0,5
"96","2020-02-13 08:07:00","安徽","池州",16,0,3
"97","2020-02-13 08:07:00","四川","成都",125,1,41
"98","2020-02-13 08:07:00","四川","自贡",9,0,2
"99","2020-02-13 08:07:00","四川","攀枝花",13,0,8
