"","time","provname","provpop","deathpop","curepop"
"1","2020-02-05 01:30:00","北京",228,1,23
"2","2020-02-05 01:30:00","湖北",13522,414,425
"3","2020-02-05 01:30:00","广东",813,0,28
"4","2020-02-05 01:30:00","浙江",829,0,62
"5","2020-02-05 01:30:00","河南",675,2,33
"6","2020-02-05 01:30:00","湖南",593,0,33
"7","2020-02-05 01:30:00","重庆",344,2,14
"8","2020-02-05 01:30:00","安徽",480,0,20
"9","2020-02-05 01:30:00","四川",282,1,16
"10","2020-02-05 01:30:00","山东",275,0,12
"11","2020-02-05 01:30:00","吉林",42,0,1
"12","2020-02-05 01:30:00","福建",194,0,7
"13","2020-02-05 01:30:00","江西",476,0,19
"14","2020-02-05 01:30:00","江苏",308,0,12
"15","2020-02-05 01:30:00","上海",219,1,12
"16","2020-02-05 01:30:00","广西",139,0,10
"17","2020-02-05 01:30:00","海南",80,1,5
"18","2020-02-05 01:30:00","陕西",142,0,2
"19","2020-02-05 01:30:00","河北",126,1,4
"20","2020-02-05 01:30:00","黑龙江",155,2,4
"21","2020-02-05 01:30:00","辽宁",81,0,2
"22","2020-02-05 01:30:00","云南",119,0,5
"23","2020-02-05 01:30:00","天津",67,0,2
"24","2020-02-05 01:30:00","山西",74,0,4
"25","2020-02-05 01:30:00","甘肃",57,0,4
"26","2020-02-05 01:30:00","内蒙古",35,0,1
"27","2020-02-05 01:30:00","台湾",11,0,0
"28","2020-02-05 01:30:00","澳门",10,0,0
"29","2020-02-05 01:30:00","香港",17,1,0
"30","2020-02-05 01:30:00","贵州",58,0,2
"31","2020-02-05 01:30:00","西藏",1,0,0
"32","2020-02-05 01:30:00","青海",15,0,0
"33","2020-02-05 01:30:00","新疆",29,0,0
"34","2020-02-05 01:30:00","宁夏",34,0,1
