"","time","provname","provpop","deathpop","curepop"
"1","2020-02-23 09:50:00","北京",399,4,189
"2","2020-02-23 09:50:00","湖北",64084,2346,15299
"3","2020-02-23 09:50:00","广东",1342,6,740
"4","2020-02-23 09:50:00","浙江",1205,1,729
"5","2020-02-23 09:50:00","河南",1271,19,861
"6","2020-02-23 09:50:00","湖南",1016,4,704
"7","2020-02-23 09:50:00","重庆",573,6,328
"8","2020-02-23 09:50:00","安徽",989,6,620
"9","2020-02-23 09:50:00","四川",526,3,256
"10","2020-02-23 09:50:00","山东",754,4,311
"11","2020-02-23 09:50:00","吉林",91,1,52
"12","2020-02-23 09:50:00","福建",293,1,165
"13","2020-02-23 09:50:00","江西",934,1,611
"14","2020-02-23 09:50:00","江苏",631,0,411
"15","2020-02-23 09:50:00","上海",335,3,227
"16","2020-02-23 09:50:00","广西",249,2,104
"17","2020-02-23 09:50:00","海南",168,4,104
"18","2020-02-23 09:50:00","陕西",245,1,153
"19","2020-02-23 09:50:00","河北",311,6,204
"20","2020-02-23 09:50:00","黑龙江",480,12,215
"21","2020-02-23 09:50:00","辽宁",121,1,68
"22","2020-02-23 09:50:00","云南",174,2,107
"23","2020-02-23 09:50:00","天津",135,3,65
"24","2020-02-23 09:50:00","山西",132,0,81
"25","2020-02-23 09:50:00","甘肃",91,2,76
"26","2020-02-23 09:50:00","内蒙古",75,0,26
"27","2020-02-23 09:50:00","台湾",26,1,2
"28","2020-02-23 09:50:00","澳门",10,0,6
"29","2020-02-23 09:50:00","香港",69,2,11
"30","2020-02-23 09:50:00","贵州",146,2,91
"31","2020-02-23 09:50:00","西藏",1,0,1
"32","2020-02-23 09:50:00","青海",18,0,18
"33","2020-02-23 09:50:00","新疆",76,2,25
"34","2020-02-23 09:50:00","宁夏",71,0,48
